control variable controller control controllable controllability controllableness controllably controlless controllingly noncontrollable noncontrollably noncontrolled noncontrolling overcontrol overcontrolled overcontrolling precontrol precontrolled precontrolling quasi-controlled quasi-controlling subcontrol subcontrolled subcontrolling supercontrol uncontrolled uncontrolling well-controlled controllable controllability controllableness controllably 				
cupping glass cupping glass cup cuplike undercup cuplike 				
finished finished finish finisher nonfinishing prefinish 				
molehill mountain mountainless submountain undermountain 				
previous previously previousness previously previousness 				
situated situation situational situationally situational 				
bid fair bide bad badness bidder baddish badness bidder 				
capital letter labor capital letter capital capitalness 				
emerge reemerge reemerged reemerging unemerged emerging 				
existence exist exister nonexisting unexisting existing 				
key card keyhole keyboard keyboard keyboard key keyless 				
lowercase small smallness ultrasmall smallish smallness 				
magazine section cartridge magazine magazinish magaziny 				
preside presides president presidentially presidentship 				
raise raise rise rerise rerose rerisen rerising unrisen 				
start misstart nonstarting restart unstarted unstarting 				
comprehensive celestial globe global globally globally 				
definite article indefinite article article subarticle 				
French Frenchness Sir John Denton Pinkstone Frenchness 				
matte matte shot matter matterful matterless nonmatter 				
poor poorness nonpoor quasi-poor quasi-poorly poorness 				
railroad road roadless roadlessness interroad roadless 				
reality antireality nonreality nonrealities proreality 				
skirt bed and board embed bed bedless bedlike interbed 				
state prison imprisonment prison prisonlike postprison 				
way black lead white lead lead leadless leadless leady 				
worry worrier worriless worryingly worrying worryingly 				
bring bringer outbring outbrought outbringing bringer 				
computer vision envision vision visionless visionless 				
darkness dark nondark predark darkish darkly darkness 				
equipping equipped equipment preequipment reequipment 				
fault find findable refind refound refinding findable 				
paint town townless intertown Ithiel townish townless 				
pregnant great bigg big biggish bigly biggish bigness 				
present present presence chamber presence nonpresence 				
sale selling sold sell sale intersale nonsale subsale 				
soul brother brothers brother brotherless brotherlike 				
driving wheel driver driverless nondriver driverless 				
intersection cute meet meeter meetness meeter meetly 				
network networker nonnetwork subnetwork supernetwork 				
reads reading reader nonreader subreader underreader 				
sale short bill of goods self sell sellable sellable 				
sensation sensible nonsense sense unsensed unsensing 				
system systemless intersystem supersystem systemless 				
Unitarian unit interunit multiunit subunit superunit 				
unpremeditated sudden suddenly suddenness suddenness 				
accession public-access television access preaccess 				
age interage preage preaged preaging subage unaging 				
author authorial authorless multiauthored proauthor 				
crowd crowder crowded crowdedly crowdedness crowder 				
effort countereffort overeffort preeffort effortful 				
game gameless gamelike gameness ungamelike gamelike 				
knowledge knowledgeless preknowledge superknowledge 				
murder self-murder self-murdered murderer murderess 				
right left field leave let alone left leaver leaver 				
affection affect affectable affectability affecter 				
annual annually interannual interannually annually 				
criminal conversation conversation preconversation 				
news newsprint newspaper newspaperdom newspaperish 				
response responseless counterresponse responseless 				
border bordered borderless transborder unbordered 				
membership member memberless submember memberless 				
odds price priceable preprice prepriced prepricing	 reprice repriced repricing (Mary) Leontyne pricer 			
parent parentless parentlike nonparent parenthood 				
schoolmen school schoolable schoolless schoollike 				
sonship soni- son sonless sonlike sonless sonlike 				
speak speakable speakableness speakably speakable 				
stock option optional option optionable preoption 				
wear wearer rewear rewore reworn rewearing wearer 				
battle cry havoc milk cry countercry countercries				
chance chanceless unchanced chanceful chanceless 				
country music country music country intercountry 				
court outcourt uncourted uncourting well-courted 				
firewood woodblock wooden wood woodless woodless 				
hospital minihospital multihospital posthospital 				
scale insect scale scaleless scalelike scalelike 				
action actionless nonaction preaction proaction 				
bear ant bear bull Russia born preborn bearlike 				
club sandwich club interclub superclub clubbing 				
entirety entire entireness subentire entireness 				
facility nonfacility nonfacilities overfacility 				
potential energy energy hyperenergy self-energy 				
virtual real number reis real realness realness 				
alley street streetless streetlike interstreet 				
district interdistrict outdistrict predistrict 				
feet hot dog throw dog dogless doglike doglike 				
field-test left field field misfield unfielded 				
spring springlike outspring outsprang outsprung	 outsprung	 outspringing respring resprang resprung respringing underspring underspring undersprang undersprung undersprung underspringing springless springlike 		
task taskless subtask untasked tasker taskless 				
checkrows checkered check checkless checkable 				
clean house subhouse Edward Mandell houseless 				
conscript fathers father fatherlike fathering 				
free freedom nonfreedom overfreedom unfreedom 				
happy overhappy quasi-happy happily happiness 				
Law of Moses low low law lawlike Andrew Bonar 				
listen listener relisten unlistening listener 				
standard prestandard superstandard unstandard 				
thinks thinking think nothing thought thinker 				
trapdoor gutta bucket drop droplike undropped 				
website site intersite resite resited resiting				
bridge surplus lance rest rest rester rester 				
democrat antidemocrat prodemocrat Democratic 				
hurt hurtable hurter unhurt unhurting hurter 				
interest overinterest preinterest reinterest 				
late lateness overlate overlateness lateness 				
marry marrier nonmarrying unmarrying marrier 				
molder worker nonworker subworker workerless 				
protasis condition conditionable uncondition 				
state low lie (Marius) Sophus Trygve Halvdan 				
arrive arriver unarrived unarriving arriver 				
battle star star starless starless starlike 				
compass range nonranging subrange unranging 				
concern overconcern preconcern self-concern 				
falling band short foul land fall unfalling 				
falling band short foul land fall unfalling 				
final pseudofinal pseudofinally quasi-final 				
food foodless foodlessness nonfood foodless 				
gold standard gold medal Nanay gold nongold 				
lead leader leaderless subleader leaderless 				
lie batten low siege lie laity state low lay				
planer plane tree plane planeness planeness 				
privy office officeless outoffice suboffice 				
solution solutional nonsolution presolution 				
table tableless untabled tableful tableless 				
computes computer computerlike noncomputer 				
couple coupleable intercouple well-coupled 				
flatus gas gasless nongas nongases gasless 				
round trip wedge trip untripped trippingly 				
spirit letter letterer letterless letterer 				
streetcar left-handed sinister car carless 				
-able -ity ability subability subabilities				
account preaccount subaccount unaccounted 				
college postcollege precollege subcollege 				
fresh freshly freshness freshly freshness 				
light night day preday Clarence (Shepard) 				
promethium premium Paymaster Postmaster pm				
rives river riverless riverlike riverless 				
source sourceful sourcefulness sourceless 				
strategy counterstrategy counterstrategies				
early earliness Jubal Anderson earliness 				
early earliness Jubal Anderson earliness 				
table d hôte dinner dinnerless predinner 				
bowel movement movement countermovement 				
kitchen kitchenless kitcheny outkitchen 				
life life hog life lively live liveness 				
science sciences scientist nonscientist 				
soviet sovietdom anti-Soviet pro-Soviet 				
threatens threaten threat counterthreat 				
care carer noncaring overcare uncaring 				
care carer noncaring overcare uncaring 				
client state client cliental nonclient 				
fight fit fittable unfittable fittable 				
frontispiece front unfronted frontless 				
frontispiece front unfronted frontless 				
idea idealess preidea subidea idealess 				
living enlivens life prelife underlife 				
minute unminuted minuteness minuteness 				
tusk gain gainable ungainable gainable 				
version versional preversion versional 				
victim victimhood victimless nonvictim 				
authorization authority antiauthority 				
believed belief prebelief superbelief 				
church antichurch nonchurch prochurch 				
collection collected collected collect				
impact nonimpact postimpact impaction 				
mind action piece multipiece unpieced 				
owns owner nonowner nonowning unowned 				
stated stating statement nonstatement 				
bottom crown head topo- top untopped 				
bottom crown head topo- top untopped 				
dice dado poker dice die dicer dicer 				
firm firmly firmness firmly firmness 				
fully full fullness fullness fulness 				
group groupwise supergroup ungrouped 				
high school high overhigh overhighly 				
leg plug pull pullable puller puller 				
lifeboat rock boat boatable boatless 				
natural nature naturelike antinature 				
ready money ready overready preready 				
risk risker riskless unrisked risker 				
term termly interterm misterm termly 				
time retime retimed retiming untimed 				
tiny tinily tininess tinily tininess 				
attention attentional overattention 				
congress pre-Congress Congressional 				
filling bill fill fillable unfilled 				
given giving gift giftless giftless 				
let alone draft leave leaver leaver 				
power counterpower de-power repower 				
scend send sendable sendable sender 				
senior citizen senior citizen senior				
team interteam underteamed unteamed 				
accept preaccept reaccept accepter 				
battlements battle battler battler 				
bolus ball baller George W(ildman) 				
century half-century half-centuries				
crisis crisic postcrisis postcrises				
floor floorless underfloor unfloor 				
herd shotgun ride ridable rideable 				
pain pain pain underpain unpaining 				
pushing luck push outpush unpushed 				
word interword outword well-worded 				
writing writing writes write writer				
brain-dead dead deadness deadness 				
community communital procommunity 				
coup count half-counted countship 				
Geneva bands band bander bandless 				
procedure procedural procedurally 				
question sick order call uncalled 				
question sick order call uncalled 				
areaway area areal areally areal 				
attitude attitudinal attitudinal 				
company companyless intercompany 				
employee preemployee proemployee 				
kill shot kill killable unkilled 				
mouth mouther mouthless outmouth 				
southerner southern pro-Southern 				
view multiview unviewed viewable 				
be americium America American am				
bloodshed sweat blood bloodlike 				
detail drawing detail predetail 				
disease diseasedly diseasedness 				
drink outdrink outdrank outdrunk	 outdrunk outdrank	 outdrinking overdrink overdrank overdrunk	 overdrunk overdrank	 overdrinking drinkable 
edits editing editor editorship 				
element interelement subelement 				
fine arts performing arts artist				
opinion preopinion underopinion 				
product multiproduct subproduct 				
wall unwall wall-less wall-like 				
well as good quasi-good goodish 				
base clew bag baglike unbagged 				
bolt wad breeze bull work shoot				
goal goalless subgoal goalless 				
missionaries mission missional 				
reports report reports reporter				
safety self-safety supersafety 				
soldier soldiership nonsoldier 				
eastern east eastness Eastern 				
family antifamily interfamily 				
film filmlike refilm unfilmed 				
hair hairlike dehair hairlike 				
Quanah bird birdless birdlike 				
refined refining refining fine				
stare starer staringly starer 				
yard-of-ale Scotland Yard yard				
Guy Fawkes Guy Fawkes Day guy				
method methodless antimethod 				
possible possible possibility				
relationship prerelationship 				
technical technical technique				
billion billionth billionth 				
central centrally centrally 				
chair chairman chairmanship 				
health healthward subhealth 				
noon afternoon preafternoon 				
sky skyless skylike skylike 				
speech language prelanguage 				
basic nonbasic quasi-basic 				
brain brainlike superbrain 				
calendar month Sunday month				
decade half-decade decadal 				
event eventless superevent 				
failing failure nonfailure 				
payment payment payment pay				
play fast unfasting faster 				
Sunday sun sunlike sunlike 				
watch unwatched unwatching 				
young quasi-young youngish 				
conceived conceive concept				
egg case egg eggless eggy 				
skill skill-less skilless 				
staff staffless unstaffed 				
folk folkish folkishness 				
medium median strip media				
scenery scene interscene 				
weight weighter weighter 				
coitus genitalia six sex				
line green Riot Act read				
easy easylike overeasy 				
engage engager engager 				
mind submind unminding 				
strength superstrength 				
telephone phone phonal 				
western west anti-West 				
apartment apartmental 				
await await table wait				
doorway door doorless 				
English side sideless 				
mainland mainline main				
minor major majorship 				
property propertyless 				
room underroom roomer 				
win winnable winnable 				
audience proaudience 				
coffee-colored coffee				
dying death predeath 				
fact factful factful 				
identity nonidentity 				
message intermessage 				
twelve dozen dozenth 				
argument reargument 				
concentration memory				
different difference				
grave foot footless 				
hole holeless holey 				
motion picture movie				
camera-ready camera				
critic supercritic 				
datum predata datum				
final final finally				
morning premorning 				
numbers pool policy				
problem subproblem 				
region underregion 				
remain unremaining 				
seven seas mare sea				
bodily bodily body				
corner kick corner				
easily overeasily 				
fly fleeing flight				
future futureless 				
future futureless 				
income incomeless 				
staying power stay				
drag drug druggy 				
faith multifaith 				
leader leadership				
status nonstatus 				
troop intertroop 				
worse warrant war				
end week weekend				
guest guestless 				
hotel hotelless 				
size sizer sizy 				
tenor tenuto ten				
radio preradio 				
role multirole 				
shop intershop 				
year multiyear 				
fail unfailed 				
hour hourless 				
jobber jab job				
dealings deal				
dealings deal				
item subitem 				
loss preloss 				
model modeler	 modeller premodel premodeled premodeling premodelled premodelling unmodeled unmodelled modeller modeler 			
simple simply				
television TV				
tendency tend				
workweek week				
earn earner 				
neighborhood				
banker bank				
opportunity				
rate rater 				
absolutely				
base basis				
eventually				
restaurant				
advantage				
generally				
principle				
customer				
tomorrow				
yes yeah				
tonight				
vehicle				
affair				
amount				
aspect				
career				
happen				
highly				
lesson				
middle				
middle				
moment				
result				
result				
senate				
theory				
heart				
south				
today				
worth				
girl				
kind				
lack				
boy				
sit				
